Name                     |      Average |    Calls |        Total
-----------------------------------------------------------------
0016bytes, 1threads new           |     0.000000 |    20000 |     0.002311
0016bytes, 1threads delete        |     0.000000 |    20000 |     0.002828
0016bytes, 1threads pool alloc |     0.000000 |    20000 |     0.002131
0016bytes, 1threads pool free |     0.000000 |    20000 |     0.002540
0016bytes, 2threads new           |     0.000000 |    20000 |     0.002278
0016bytes, 2threads delete        |     0.000000 |    20000 |     0.002917
0016bytes, 2threads pool alloc |     0.000000 |    20000 |     0.001705
0016bytes, 2threads pool free |     0.000000 |    20000 |     0.001616
0016bytes, 4threads new           |     0.000000 |    20000 |     0.003016
0016bytes, 4threads delete        |     0.000000 |    20000 |     0.003216
0016bytes, 4threads pool alloc |     0.000000 |    20000 |     0.001891
0016bytes, 4threads pool free |     0.000000 |    20000 |     0.001606
0016bytes, 8threads new           |     0.000000 |    20000 |     0.003990
0016bytes, 8threads delete        |     0.000000 |    20000 |     0.003578
0016bytes, 8threads pool alloc |     0.000000 |    20000 |     0.002056
0016bytes, 8threads pool free |     0.000000 |    20000 |     0.002499
0256bytes, 1threads new           |     0.000000 |    20000 |     0.004473
0256bytes, 1threads delete        |     0.000000 |    20000 |     0.004119
0256bytes, 1threads pool alloc |     0.000000 |    20000 |     0.002450
0256bytes, 1threads pool free |     0.000000 |    20000 |     0.002186
0256bytes, 2threads new           |     0.000000 |    20000 |     0.004204
0256bytes, 2threads delete        |     0.000000 |    20000 |     0.003450
0256bytes, 2threads pool alloc |     0.000000 |    20000 |     0.002852
0256bytes, 2threads pool free |     0.000000 |    20000 |     0.001714
0256bytes, 4threads new           |     0.000000 |    20000 |     0.005481
0256bytes, 4threads delete        |     0.000000 |    20000 |     0.004612
0256bytes, 4threads pool alloc |     0.000000 |    20000 |     0.002547
0256bytes, 4threads pool free |     0.000000 |    20000 |     0.002165
0256bytes, 8threads new           |     0.000000 |    20000 |     0.006945
0256bytes, 8threads delete        |     0.000000 |    20000 |     0.005936
0256bytes, 8threads pool alloc |     0.000000 |    20000 |     0.004359
0256bytes, 8threads pool free |     0.000000 |    20000 |     0.002479
4096bytes, 1threads new           |     0.000002 |    20000 |     0.030727
4096bytes, 1threads delete        |     0.000001 |    20000 |     0.011932
4096bytes, 1threads pool alloc |     0.000001 |    20000 |     0.010813
4096bytes, 1threads pool free |     0.000000 |    20000 |     0.003707
4096bytes, 2threads new           |     0.000002 |    20000 |     0.036315
4096bytes, 2threads delete        |     0.000001 |    20000 |     0.015694
4096bytes, 2threads pool alloc |     0.000001 |    20000 |     0.013774
4096bytes, 2threads pool free |     0.000000 |    20000 |     0.004375
4096bytes, 4threads new           |     0.000002 |    20000 |     0.046995
4096bytes, 4threads delete        |     0.000002 |    20000 |     0.033710
4096bytes, 4threads pool alloc |     0.000001 |    20000 |     0.022844
4096bytes, 4threads pool free |     0.000000 |    20000 |     0.005286
4096bytes, 8threads new           |     0.000003 |    20000 |     0.062991
4096bytes, 8threads delete        |     0.000003 |    20000 |     0.060803
4096bytes, 8threads pool alloc |     0.000002 |    20000 |     0.030882
4096bytes, 8threads pool free |     0.000000 |    20000 |     0.007381
