Name		|		Average	|	Calls
-------------------------------------
new500000	|	0.000003	|	500000	|	1.539772
delete500000	|	0.000002	|	500000	|	0.929745
memoryPool Alloc500000	|	0.000001	|	500000	|	0.471481
memoryPool Free500000	|	0.000000	|	500000	|	0.120606
tlsPool Alloc500000	|	0.000001	|	500000	|	0.455673
tlsPool Free500000	|	0.000000	|	500000	|	0.118578
new250000	|	0.000005	|	500000	|	2.577322
delete250000	|	0.000004	|	500000	|	1.810820
memoryPool Alloc250000	|	0.000001	|	500000	|	0.554026
memoryPool Free250000	|	0.000000	|	500000	|	0.153085
tlsPool Alloc250000	|	0.000001	|	500000	|	0.516117
tlsPool Free250000	|	0.000000	|	500000	|	0.136740
new125000	|	0.000008	|	500000	|	3.807210
delete125000	|	0.000006	|	500000	|	2.781601
memoryPool Alloc125000	|	0.000002	|	500000	|	0.852167
memoryPool Free125000	|	0.000000	|	500000	|	0.156969
tlsPool Alloc125000	|	0.000001	|	500000	|	0.692931
tlsPool Free125000	|	0.000000	|	500000	|	0.147081
new62500	|	0.000012	|	500000	|	6.135274
delete62500	|	0.000010	|	500000	|	4.884831
memoryPool Alloc62500	|	0.000002	|	500000	|	0.843436
memoryPool Free62500	|	0.000000	|	500000	|	0.167846
tlsPool Alloc62500	|	0.000001	|	500000	|	0.745359
tlsPool Free62500	|	0.000000	|	500000	|	0.156550
new31250	|	0.000023	|	500000	|	11.426823
delete31250	|	0.000019	|	500000	|	9.735124
memoryPool Alloc31250	|	0.000002	|	500000	|	0.778494
memoryPool Free31250	|	0.000000	|	500000	|	0.238186
tlsPool Alloc31250	|	0.000001	|	500000	|	0.647028
tlsPool Free31250	|	0.000000	|	500000	|	0.207102
